,CUSTNUM,Frequency
0,9010609948,5
1,9040409670,1
2,9195590809,2
3,6769703236,7
4,4540254651,12
5,5163654837,7
6,7725452279,3
7,7880012792,4
8,9434580568,14
9,9263920733,16
10,3103056893,7
11,9405810597,2
12,6228413774,8
13,2362587638,1
14,4752885242,2
15,1525468474,4
16,4486225517,4
17,2995817000,9
18,4862495135,6
19,6550134558,5
20,3443306557,2
21,6962903032,7
22,8128061873,10
23,4615565386,11
24,4058225947,7
25,6892613105,13
26,4523375476,14
27,98989909,4
28,4292005705,5
29,1071888926,7
30,7918842087,3
31,4290757150,5
32,6731593262,6
33,7790021192,5
34,4640353650,6
35,715339286,4
36,4962345036,1
37,2610573960,5
38,5185014816,2
39,5023754972,2
40,2080279279,2
41,1707828293,2
42,8716321286,8
43,4202345798,4
44,2645297358,1
45,8194651807,5
46,2666917334,11
47,9080709253,10
48,8370063781,6
49,8787151212,2
50,2299587708,4
51,9388940616,5
52,6335343665,3
53,9846180159,2
54,5000650020,3
55,6459273547,7
56,3804156194,7
57,2035027964,16
58,7000008229,3
59,2474637521,9
60,8759251247,6
61,7388812611,4
62,8835231166,5
63,4874135127,3
64,6156433847,5
65,4950150516,3
66,5906384093,2
67,8120218813,8
68,4448345556,2
69,6570134342,11
70,6263623735,2
71,853069149,1
72,6190081363,6
73,5107084898,10
74,7026382970,3
75,2937407066,2
76,7170628389,4
77,9962980039,3
78,8414381585,1
79,5195964802,14
80,408629591,8
81,5299294703,1
82,530594746,6
83,4615655386,3
84,9197680808,4
85,9375280625,3
86,268119735,2
87,7031902961,2
88,1064458938,7
89,7671892320,2
90,5584134410,5
91,3388316618,3
92,1367688637,3
93,793739201,4
94,1345078655,3
95,9685810310,1
96,27189976,12
97,7318462687,7
98,8538571463,5
99,9471980522,6
100,2014647983,1
101,2750172593,6
102,6602123395,8
103,5462984535,6
104,6025813978,2
105,2494857506,3
106,7905012095,1
107,7017862986,10
108,8054651948,7
109,1574038420,7
110,9785810219,2
111,8830017111,7
112,1588468417,4
113,4671745320,5
114,2084917919,17
115,9563320431,5
116,4126005872,8
117,358559644,4
118,4722665270,6
119,7004342998,1
120,9104840899,4
121,955449042,10
122,3796936207,4
123,7946622057,6
124,5624824372,1
125,5566104439,6
126,4342915652,3
127,1037938963,3
128,4000960073,4
129,4816905182,13
130,370196393,8
131,2530974795,1
132,5078464920,1
133,7217892783,3
134,2991617000,2
135,5576004420,3
136,2808637196,4
137,2420375826,5
138,5590244123,2
139,5665604333,5
140,8125871877,1
141,2643197353,25
142,1423708576,31
143,7985262010,1
144,6588623411,3
145,1254868746,3
146,6866323131,15
147,4820551871,3
148,5261554735,18
149,1199338800,3
150,8659771341,11
151,3709276291,4
152,5479294523,6
153,2223617770,7
154,2133517864,5
155,1953818042,14
156,7800005321,19
157,6412533586,9
158,5126504872,3
159,5112894884,11
160,8942931053,3
161,8230517728,3
162,5984864019,3
163,6916073082,4
164,7333172663,9
165,7763692237,1
166,2293047705,8
167,3551626442,3
168,2000009479,1
169,3709706290,4
170,2588497413,7
171,2130278761,11
172,213709785,1
173,7245822755,2
174,6148853853,1
175,5835314167,14
176,3766366233,5
